"Id,""Distancia"",""Nivel"",""Tiempo_CHKP_1"",""Tiempo_CHKP_2"",""Errores"",""Tiempo_total"",""Num_Sesiones"",""Zona"""
"1,""2199"",""1"",""29665035300"",""34138204100"",""41"",""55190035800"",""1"",""6"""
"1,""1482"",""2"",""29288284400"",""54748031400"",""80"",""79828341900"",""1"",""10"""
"1,""811"",""3"",""19635528200"",""38226539900"",""23"",""53813774900"",""1"",""12"""
"1,""2232"",""4"",""36879112900"",""85322373800"",""55"",""110235845800"",""1"",""10"""
"1,""2371"",""5"",""22673787300"",""39863612700"",""12"",""62489850500"",""1"",""12"""
"2,""394"",""1"",""23972587500"",""35769716700"",""11"",""66250436900"",""1"",""6"""
"2,""429"",""2"",""24905595700"",""52536694700"",""34"",""94997372200"",""1"",""10"""
"2,""429"",""3"",""20354600400"",""50017544300"",""2"",""74137521800"",""1"",""12"""
"2,""440"",""4"",""39339329400"",""74921155300"",""46"",""109075778600"",""1"",""10"""
"2,""448"",""5"",""27701411000"",""49731080600"",""16"",""69683873400"",""1"",""12"""
"3,""480"",""1"",""26260685600"",""32522058500"",""0"",""55639508400"",""1"",""6"""
"3,""481"",""2"",""32797237100"",""57092381500"",""43"",""78803158400"",""1"",""10"""
"3,""453"",""3"",""25309192000"",""60309053200"",""19"",""78810880200"",""1"",""12"""
"3,""467"",""4"",""35416237500"",""77635810600"",""10"",""106718173700"",""1"",""10"""
"3,""477"",""5"",""40623763700"",""60553078700"",""1"",""81561745100"",""1"",""12"""
"4,""398"",""1"",""24813370400"",""60359629500"",""22"",""88067506700"",""1"",""6"""
"4,""436"",""2"",""28510884600"",""59619581900"",""31"",""84567660500"",""1"",""10"""
"4,""385"",""3"",""24161962000"",""63218866100"",""41"",""80367364500"",""1"",""12"""
"4,""387"",""4"",""23079375600"",""47225122500"",""113"",""71894267200"",""1"",""10"""
"4,""361"",""5"",""21622652900"",""38500976200"",""15"",""50970227100"",""1"",""12"""
"5,""397"",""1"",""41497195100"",""54817088000"",""41"",""94707182800"",""1"",""6"""
"5,""412"",""2"",""25418797900"",""122261474000"",""35"",""147652168000"",""1"",""10"""
"5,""465"",""3"",""25418797900"",""77778472500"",""21"",""97466258900"",""1"",""12"""
"5,""561"",""5"",""24315375400"",""41605764100"",""7"",""59721208400"",""1"",""12"""
"5,""457"",""1"",""19405862100"",""26833636200"",""0"",""49533812200"",""2"",""6"""
"5,""458"",""2"",""21885361900"",""44305509600"",""71"",""64820399700"",""2"",""10"""
"5,""467"",""3"",""21885361900"",""29133643700"",""15"",""48951662400"",""2"",""12"""
"5,""457"",""4"",""23215522000"",""69850076000"",""111"",""142926806800"",""2"",""10"""
"5,""488"",""5"",""113087897900"",""206447635000"",""57"",""265289512700"",""2"",""12"""
"5,""397"",""1"",""22072304100"",""34193505800"",""242"",""56372612700"",""3"",""6"""
"5,""397"",""3"",""27692071200"",""55686064900"",""21"",""156503389500"",""3"",""12"""
"5,""400"",""4"",""23362395600"",""53391445000"",""19"",""77076224900"",""3"",""10"""
"5,""401"",""5"",""25032305900"",""42470324900"",""17"",""68049932100"",""3"",""12"""
"5,""408"",""1"",""20482295600"",""32132932900"",""5"",""53765623600"",""4"",""6"""
"5,""406"",""2"",""25599368300"",""53874996400"",""43"",""82635540500"",""4"",""10"""
"5,""410"",""3"",""27759130100"",""53986508700"",""43"",""82341400200"",""4"",""12"""
"5,""407"",""4"",""25105096900"",""60756930000"",""65"",""85802408300"",""4"",""10"""
"4,""397"",""1"",""19030289100"",""27626494200"",""22"",""50949013500"",""2"",""6"""
"4,""403"",""2"",""27144630000"",""54854235200"",""45"",""78771955100"",""2"",""10"""
"4,""416"",""3"",""39996649500"",""91297398700"",""4"",""107538306100"",""2"",""12"""
"4,""444"",""4"",""26126216400"",""57378281700"",""17"",""84266553300"",""2"",""10"""
"4,""475"",""5"",""28527496200"",""45845048300"",""13"",""66464524700"",""2"",""12"""
"6,""421"",""1"",""37679270000"",""75116582800"",""17"",""123034374100"",""1"",""6"""
"6,""450"",""2"",""89477961900"",""141704119800"",""26"",""176117056100"",""1"",""10"""
"6,""433"",""3"",""38833774300"",""82495309500"",""4"",""102845532700"",""1"",""12"""
"6,""445"",""4"",""29666155300"",""59242083500"",""9"",""84432938200"",""1"",""10"""
"6,""447"",""5"",""22639276900"",""38583105700"",""47"",""53871801200"",""1"",""12"""
"7,""435"",""1"",""19500408700"",""36028809600"",""31"",""62047837300"",""1"",""6"""
"7,""446"",""2"",""30273334000"",""83851821100"",""104"",""108900635000"",""1"",""10"""
"7,""457"",""3"",""22453193100"",""156720154700"",""54"",""174944972300"",""1"",""12"""
"7,""473"",""4"",""22860210400"",""45730556300"",""83"",""73975166000"",""1"",""10"""
"7,""473"",""5"",""20959341600"",""38134624700"",""40"",""52185939300"",""1"",""12"""
"8,""490"",""1"",""20884762400"",""27356604400"",""13"",""54466309800"",""1"",""6"""
"8,""498"",""2"",""27028621600"",""51896154000"",""64"",""76994545400"",""1"",""10"""
"8,""519"",""3"",""16508983400"",""36665544800"",""13"",""55168643300"",""1"",""12"""
"8,""540"",""4"",""36640513000"",""86644787100"",""72"",""112189844500"",""1"",""10"""
"8,""486"",""5"",""21045307000"",""38587038500"",""49"",""68460360500"",""1"",""12"""
"9,""467"",""1"",""29093147800"",""43638595600"",""148"",""67616149100"",""1"",""6"""
"9,""458"",""2"",""29031568300"",""59622151300"",""5"",""89168215700"",""1"",""10"""
"9,""462"",""3"",""25710356200"",""52340325200"",""4"",""69817181300"",""1"",""12"""
"9,""454"",""4"",""27316798700"",""66135296200"",""25"",""95291981100"",""1"",""10"""
"9,""456"",""5"",""26276022100"",""42063703100"",""24"",""88762075000"",""1"",""12"""
"10,""480"",""1"",""23565111500"",""28155651400"",""5"",""78012535700"",""1"",""6"""
"10,""523"",""2"",""32637305200"",""55022044900"",""56"",""78409002600"",""1"",""10"""
"10,""569"",""3"",""26301409700"",""40251189800"",""31"",""59247552200"",""1"",""12"""
"10,""595"",""4"",""30429151600"",""64617200500"",""59"",""128554325500"",""1"",""10"""
"10,""599"",""5"",""22032580200"",""36307454200"",""8"",""60212904100"",""1"",""12"""
"11,""465"",""1"",""23492057400"",""31089344400"",""12"",""55030074000"",""1"",""6"""
"11,""466"",""2"",""30819881500"",""59929772500"",""33"",""87561940000"",""1"",""10"""
"11,""461"",""3"",""22794701100"",""44070476700"",""20"",""65677046000"",""1"",""12"""
"11,""463"",""4"",""26636519600"",""52693149400"",""28"",""83966614700"",""1"",""10"""
"11,""452"",""5"",""25301654100"",""56292714800"",""13"",""82867005000"",""1"",""12"""
"12,""474"",""1"",""36388679100"",""52651011800"",""26"",""89037024600"",""1"",""6"""
"12,""445"",""1"",""22165293700"",""30683908200"",""2"",""60748003300"",""1"",""6"""
"12,""458"",""2"",""29025761300"",""58571123300"",""4"",""86799600300"",""1"",""10"""
"12,""463"",""3"",""17862739700"",""40409627700"",""1"",""62680608100"",""1"",""12"""
"12,""469"",""4"",""29261574000"",""67968514100"",""25"",""96955034100"",""1"",""10"""
"13,""430"",""1"",""13350723000"",""20394671400"",""233"",""49216529500"",""1"",""6"""
"13,""466"",""2"",""29824198400"",""70036412500"",""55"",""96069722200"",""1"",""10"""
"13,""489"",""3"",""29824198400"",""43732683400"",""11"",""63895699600"",""1"",""12"""
"13,""495"",""5"",""25903102600"",""50614152900"",""10"",""67524493700"",""1"",""12"""
"14,""515"",""1"",""30219768800"",""41815317900"",""8"",""71206396000"",""1"",""6"""
"14,""537"",""2"",""32495590800"",""64573815400"",""11"",""91083185100"",""1"",""10"""
"14,""512"",""3"",""22279364600"",""54012658200"",""0"",""72404548500"",""1"",""12"""
"14,""569"",""4"",""52591490300"",""86365024300"",""30"",""112920069800"",""1"",""10"""
"14,""599"",""5"",""30585283900"",""72234247300"",""17"",""100275010500"",""1"",""12"""
"15,""446"",""1"",""30815564200"",""42576612100"",""4"",""75465798800"",""1"",""6"""
"15,""461"",""2"",""28782367900"",""65735448400"",""2"",""93404820300"",""1"",""10"""
"15,""428"",""4"",""25507314400"",""153627187700"",""45"",""342207231200"",""1"",""10"""
"15,""437"",""5"",""44301231600"",""77393748700"",""7"",""93694668800"",""1"",""12"""
"15,""419"",""1"",""47778239100"",""59642973600"",""30"",""85152727100"",""2"",""6"""
"15,""448"",""2"",""26546869200"",""50923958700"",""36"",""75681784600"",""2"",""10"""
"15,""454"",""3"",""19796091900"",""44051157900"",""5"",""60342534000"",""2"",""12"""
"15,""470"",""4"",""26032304100"",""87019045800"",""73"",""116041212700"",""2"",""10"""
"15,""435"",""5"",""32268901500"",""53993497600"",""7"",""74324518400"",""2"",""12"""
